STARTING TRAINING
Inizio addestramento DGAN
[Epoch 44/1200]  G=6.7708  D_s=-2.9440  D_t=-250.8546  Irr=0.01928  Aux=1.2618  alpha_irr=1.286  T=0.802
[Epoch 45/1200]  G=3.6030  D_s=-2.9053  D_t=-266.7295  Irr=0.02498  Aux=1.2386  alpha_irr=1.313  T=0.798
[Epoch 46/1200]  G=1.4629  D_s=-2.9151  D_t=-291.5316  Irr=0.02667  Aux=1.2026  alpha_irr=1.341  T=0.794
[Epoch 47/1200]  G=0.6387  D_s=-2.9106  D_t=-313.8809  Irr=0.00578  Aux=1.1719  alpha_irr=1.369  T=0.790
[Epoch 48/1200]  G=4.2617  D_s=-2.8867  D_t=-335.9734  Irr=0.00544  Aux=1.1348  alpha_irr=1.396  T=0.786
[Epoch 49/1200]  G=-3.2118  D_s=-2.9348  D_t=-366.3077  Irr=0.00477  Aux=1.1188  alpha_irr=1.424  T=0.782
[Epoch 50/1200]  G=-9.8509  D_s=-2.9278  D_t=-392.6086  Irr=0.02236  Aux=1.0646  alpha_irr=1.451  T=0.778
[Epoch 51/1200]  G=3.4095  D_s=-2.9123  D_t=-413.3573  Irr=0.01157  Aux=1.0309  alpha_irr=1.479  T=0.774
[Epoch 52/1200]  G=3.2050  D_s=-2.9230  D_t=-448.4732  Irr=0.01758  Aux=0.9908  alpha_irr=1.506  T=0.771
[Epoch 53/1200]  G=6.6441  D_s=-2.9361  D_t=-471.4028  Irr=0.01550  Aux=0.9824  alpha_irr=1.534  T=0.767
[Epoch 54/1200]  G=-7.4097  D_s=-2.9571  D_t=-500.4487  Irr=0.01555  Aux=0.9451  alpha_irr=1.562  T=0.763
[Epoch 55/1200]  G=0.5729  D_s=-2.9192  D_t=-546.6803  Irr=0.03263  Aux=0.9374  alpha_irr=1.589  T=0.759
[Epoch 56/1200]  G=-13.4380  D_s=-2.9208  D_t=-574.1684  Irr=0.02850  Aux=0.8972  alpha_irr=1.617  T=0.755
[Epoch 57/1200]  G=-17.5642  D_s=-2.9080  D_t=-624.0674  Irr=0.00769  Aux=0.8509  alpha_irr=1.644  T=0.751
[Epoch 58/1200]  G=-8.6365  D_s=-2.9212  D_t=-652.7363  Irr=0.01143  Aux=0.8517  alpha_irr=1.672  T=0.748
